OBJECTID,CODE,DOORSTROOMBREEDTE,LAAGSTEDOORSTROOMHOOGTE,HOOGSTEDOORSTROOMHOOGTE,HOOGTECONSTRUCTIE,STATUSLEGGERWATERSYSTEEM,STATUSLEGGERWATERVEILIGHEID,INDICATOR,GEOMETRY,datakey,metadatakey
1,114LAC,0.5,22.490000000000002,23.51,23.86,Vastgesteld,Niet van toepassing,L,POINT (190195.875 396712.958999999),114LAC,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
10,275K,2.3000000000000003,26.6,27.79,28.42,Vastgesteld,Niet van toepassing,L,POINT (187353.708999999 376758.438000001),275K,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
11,275M,1.8,28.490000000000002,29.29,29.67,Vastgesteld,Niet van toepassing,L,POINT (188270.864999998 374342.469000001),275M,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
12,279A,4.0,19.0,19.96,20.09,Vastgesteld,Niet van toepassing,L,POINT (177017.919 381507.055),279A,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
13,279G,0.98,22.5,23.39,23.68,Vastgesteld,Niet van toepassing,L,POINT (181259.623 380079.280000001),279G,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
14,279H,0.87,23.86,24.740000000000002,25.080000000000002,Vastgesteld,Niet van toepassing,L,POINT (181900.083999999 379488.695999999),279H,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
15,280SC,3.9,19.39,19.38,21.03,Vastgesteld,Niet van toepassing,L,POINT (176757.039500002 381077.875300001),280SC,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
16,292B,2.36,23.26,24.5,25.060000000000002,Vastgesteld,Niet van toepassing,L,POINT (181969.405000001 375467.861000001),292B,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
17,211A,8.85,4.25,6.07,6.26,Vastgesteld,Niet van toepassing,L,POINT (158086.576000001 408083.478999998),211A,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
18,261CH,3.9,22.67,23.73,23.87,Vastgesteld,Niet van toepassing,L,POINT (183013.842999998 387168.362),261CH,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
19,256AA,0.8,12.61,13.26,13.700000000000001,Vastgesteld,Niet van toepassing,L,POINT (174126.445500001 393404.364700001),256AA,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
20,254AA,1.0,12.15,13.0,13.33,Vastgesteld,Niet van toepassing,L,POINT (172680.625999998 395401.267999999),254AA,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
21,275HG,0.85,27.48,28.17,28.650000000000002,Vastgesteld,Niet van toepassing,L,POINT (187621.388099998 379840.9881),275HG,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
22,261FF,0.8,22.44,23.02,23.43,Vastgesteld,Niet van toepassing,L,POINT (182430.475000001 388639.721000001),261FF,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
23,261E,4.65,18.04,19.36,19.86,Vastgesteld,Niet van toepassing,L,POINT (179694.861000001 388565.195999999),261E,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
24,211ML,0.92,19.64,20.580000000000002,20.92,Vastgesteld,Niet van toepassing,L,POINT (177524.535999998 401828.02),211ML,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
25,204HN,1.08,9.72,9.74,10.63,Vastgesteld,Niet van toepassing,L,POINT (167262.969999999 412105.758000001),204HN,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
26,204AL,0.51,3.66,4.39,4.39,Vastgesteld,Niet van toepassing,L,POINT (154929.708000001 412469.691),204AL,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
27,234FF,0.66,18.86,18.86,19.77,Vastgesteld,Niet van toepassing,L,POINT (176233.323399998 383283.155499999),234FF,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
28,261BAD,0.61,20.41,20.94,21.48,Vastgesteld,Niet van toepassing,L,POINT (180389.125999998 390185.539000001),261BAD,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
29,204BHA,0.9,4.74,5.45,5.91,Vastgesteld,Niet van toepassing,L,POINT (158272.756000001 409562.975000002),204BHA,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
30,204BKA,0.61,5.09,6.0600000000000005,6.07,Vastgesteld,Niet van toepassing,L,POINT (162522.195999999 413854.293000001),204BKA,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
31,204C,7.8,3.45,5.14,5.5,Vastgesteld,Niet van toepassing,L,POINT (158659.210000001 412416.442000002),204C,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
32,201S,4.0,24.54,25.75,26.05,Vastgesteld,Niet van toepassing,L,POINT (180703.390999999 373184.783),201S,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
168,234FL,0.8,17.39,18.84,19.7,Vastgesteld,Niet van toepassing,L,POINT (173721.677999999 385299.500999998),234FL,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
169,245A,0.85,11.43,12.34,12.69,Vastgesteld,Niet van toepassing,L,POINT (173162.822999999 400157.901000001),245A,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
170,248J,0.92,20.11,20.77,21.09,Vastgesteld,Niet van toepassing,L,POINT (177809.874000002 399893.322999999),248J,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
171,251NA,0.58,22.77,23.3,23.84,Vastgesteld,Niet van toepassing,L,POINT (182608.366999999 396511.778999999),251NA,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
172,253GB,1.0,16.240000000000002,17.23,17.3,Vastgesteld,Niet van toepassing,L,POINT (176950.646000002 392110.548999999),253GB,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
173,253GG,0.6,17.35,17.94,18.43,Vastgesteld,Niet van toepassing,L,POINT (178489.031 391751.791000001),253GG,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
174,253P,0.9400000000000001,24.080000000000002,25.18,25.7,Vastgesteld,Niet van toepassing,L,POINT (183056.807 391530.464000002),253P,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
175,261BIF,2.2,27.16,27.91,28.36,Vastgesteld,Niet van toepassing,L,POINT (184773.458999999 383645.039999999),261BIF,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
176,261BIN,1.05,23.900000000000002,24.85,24.89,Vastgesteld,Niet van toepassing,L,POINT (182898.594000001 383627.192000002),261BIN,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
177,261CL,1.35,25.55,26.53,27.14,Vastgesteld,Niet van toepassing,L,POINT (186249.920000002 386105.59),261CL,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
178,261CTA,1.0,27.27,27.98,28.51,Vastgesteld,Niet van toepassing,L,POINT (185408.787799999 384769.412799999),261CTA,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
179,261BIG,2.2,27.95,28.82,29.28,Vastgesteld,Niet van toepassing,L,POINT (185518.511999998 383653.989999998),261BIG,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
180,261BRA,0.68,29.55,30.19,30.400000000000002,Vastgesteld,Niet van toepassing,L,POINT (188149.462000001 381752.421),261BRA,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
181,261CD,3.7,20.39,21.66,21.96,Vastgesteld,Niet van toepassing,L,POINT (180438.122000001 387516.403999999),261CD,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
182,261CEA,0.72,22.06,23.04,23.04,Vastgesteld,Niet van toepassing,L,POINT (181678.866 387360.651000001),261CEA,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
183,261CP,0.79,30.650000000000002,31.32,31.67,Vastgesteld,Niet van toepassing,L,POINT (188699.563000001 383609.839000002),261CP,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
184,261JAA,1.0,24.36,25.0,25.48,Vastgesteld,Niet van toepassing,L,POINT (185194.43 390430.355),261JAA,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
185,261JM,0.88,25.38,26.330000000000002,26.67,Vastgesteld,Niet van toepassing,L,POINT (185363.827 388485.66),261JM,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
186,275HH,1.0,28.060000000000002,28.91,29.23,Vastgesteld,Niet van toepassing,L,POINT (186719.59 381430.594999999),275HH,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
187,275JM,1.0,30.46,31.080000000000002,31.650000000000002,Vastgesteld,Niet van toepassing,L,POINT (190374.295000002 377836.094999999),275JM,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
188,280BD,0.98,21.85,22.56,23.05,Vastgesteld,Niet van toepassing,L,POINT (175808.431000002 379094.401999999),280BD,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
189,287DH,0.87,25.13,25.91,26.14,Vastgesteld,Niet van toepassing,L,POINT (185257.013 377736.552000001),287DH,BB44ACF3-517B-48CD-8B6B-AB12B4DCAF76
125,211JN,0.7000000000000001,14.18,14.18,15.02,Vastgesteld,Niet van toepassing,L,POINT (171631.048 406655.070999999),211JN,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
126,211MJ,1.93,17.98,19.09,19.32,Vastgesteld,Niet van toepassing,L,POINT (175756.638 402781.912000001),211MJ,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
127,211MO,0.84,18.19,18.78,18.990000000000002,Vastgesteld,Niet van toepassing,L,POINT (175414.511999998 402558.041000001),211MO,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
128,211MT,0.92,19.17,19.93,20.27,Vastgesteld,Niet van toepassing,L,POINT (176248.877 404095.502999999),211MT,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
129,211MV,0.91,18.6,19.25,19.5,Vastgesteld,Niet van toepassing,L,POINT (176140.728 403188.245000001),211MV,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
130,234CK,1.0,12.280000000000001,12.84,13.33,Vastgesteld,Niet van toepassing,L,POINT (170762.101799998 395216.593400002),234CK,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
131,234CPC,0.72,12.41,13.290000000000001,13.52,Vastgesteld,Niet van toepassing,L,POINT (170057.243999999 393675.195),234CPC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
132,234GH,1.0,17.09,17.93,18.27,Vastgesteld,Niet van toepassing,L,POINT (173352.098000001 384257.129000001),234GH,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
133,251CMA,1.0,21.2,21.68,22.02,Vastgesteld,Niet van toepassing,L,POINT (179592.001600001 394646.486400001),251CMA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
134,251N,2.32,21.97,22.51,23.19,Vastgesteld,Niet van toepassing,L,POINT (182284.574999999 396646.940000001),251N,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
135,256A,2.2,12.0,13.040000000000001,13.47,Vastgesteld,Niet van toepassing,L,POINT (173178.668000001 394138.688000001),256A,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
136,261BAB,1.0,18.86,19.23,19.23,Vastgesteld,Niet van toepassing,L,POINT (179369.0 389670.863000002),261BAB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
137,261BIC,2.8000000000000003,24.71,25.5,26.02,Vastgesteld,Niet van toepassing,L,POINT (183422.287999999 383666.476),261BIC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
138,261BN,2.82,26.16,27.01,27.26,Vastgesteld,Niet van toepassing,L,POINT (185014.941 382677.93),261BN,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
139,261BO,2.8000000000000003,27.05,28.1,28.67,Vastgesteld,Niet van toepassing,L,POINT (185200.09 382675.158),261BO,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
140,261CQ,0.8,25.48,26.310000000000002,26.46,Vastgesteld,Niet van toepassing,L,POINT (185709.414999999 387635.083999999),261CQ,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
141,261FA,0.8,20.42,21.14,21.3,Vastgesteld,Niet van toepassing,L,POINT (180775.195 388975.375),261FA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
142,261J,3.25,23.11,24.900000000000002,25.21,Vastgesteld,Niet van toepassing,L,POINT (184197.853 389660.142000001),261J,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
143,268A,5.3,19.19,20.900000000000002,21.63,Vastgesteld,Niet van toepassing,L,POINT (176275.934 386282.232000001),268A,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
144,275DA,0.7000000000000001,22.25,22.47,22.490000000000002,Vastgesteld,Niet van toepassing,L,POINT (181228.793000001 381804.436999999),275DA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
145,275EA,9.9,21.84,21.85,22.96,Vastgesteld,Niet van toepassing,L,POINT (181814.232000001 381484.789999999),275EA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
146,275JK,1.46,30.400000000000002,31.37,31.720000000000002,Vastgesteld,Niet van toepassing,L,POINT (189569.533 377399.287),275JK,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
147,275EB,6.65,21.61,21.61,22.95,Vastgesteld,Niet van toepassing,L,POINT (181838.640000001 381441.175000001),275EB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
148,279D,2.25,20.81,21.92,22.25,Vastgesteld,Niet van toepassing,L,POINT (178338.386999998 381329.085999999),279D,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
149,275BF,1.25,21.66,21.69,21.88,Vastgesteld,Niet van toepassing,L,POINT (179619.752999999 384512.846999999),275BF,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
150,261CQC,1.9000000000000001,26.580000000000002,26.580000000000002,26.57,Vastgesteld,Niet van toepassing,L,POINT (186439.596000001 388010.517999999),261CQC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
151,103BUS,0.5,3.7,4.3,4.61,Vastgesteld,Niet van toepassing,L,POINT (162016.116 418283.936999999),103BUS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
152,102CSS,5.0,0.78,2.45,2.52,Vastgesteld,Niet van toepassing,L,POINT (151129.409000002 414548.947000001),102CSS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
153,105AKS,1.0,19.150000000000002,19.150000000000002,19.18,Vastgesteld,Niet van toepassing,L,POINT (174719.353 410940.096000001),105AKS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
154,204BN,1.17,4.45,6.09,6.16,Vastgesteld,Niet van toepassing,L,POINT (158975.414000001 412424.436000001),204BN,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
155,204CD,2.94,4.72,6.07,6.05,Vastgesteld,Niet van toepassing,L,POINT (162570.241 411849.298),204CD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
156,204CG,1.35,6.28,7.12,7.37,Vastgesteld,Niet van toepassing,L,POINT (164405.495000001 410673.614999998),204CG,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
157,204G,1.69,6.17,7.26,7.57,Vastgesteld,Niet van toepassing,L,POINT (165440.227699999 412681.982900001),204G,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
158,204Q,1.0,16.6,17.35,17.41,Vastgesteld,Niet van toepassing,L,POINT (170044.473000001 411785.741999999),204Q,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
159,211HB,1.03,11.370000000000001,11.85,11.85,Vastgesteld,Niet van toepassing,L,POINT (168412.204999998 409012.75),211HB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
160,211HJ,1.77,16.03,16.03,16.9,Vastgesteld,Niet van toepassing,L,POINT (170898.710999999 409441.127999999),211HJ,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
161,211JB,1.2,11.0,11.66,12.56,Vastgesteld,Niet van toepassing,L,POINT (170522.074000001 406520.921),211JB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
162,211MH,2.44,16.14,17.02,17.64,Vastgesteld,Niet van toepassing,L,POINT (175139.98 403336.511),211MH,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
163,211MP,0.91,18.35,19.1,19.36,Vastgesteld,Niet van toepassing,L,POINT (175821.407000002 402611.609000001),211MP,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
164,211MR,0.9,19.17,19.94,20.19,Vastgesteld,Niet van toepassing,L,POINT (175697.226 404582.364),211MR,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
165,211MZ,0.9400000000000001,19.73,20.36,20.61,Vastgesteld,Niet van toepassing,L,POINT (177401.453000002 402550.401000001),211MZ,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
166,211ND,0.85,12.39,13.040000000000001,13.49,Vastgesteld,Niet van toepassing,L,POINT (173319.1842 401610.824099999),211ND,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
167,227AA,5.5,7.17,8.1,8.88,Vastgesteld,Niet van toepassing,L,POINT (164959.787 405141.221999999),227AA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
190,275BC,1.25,21.97,21.97,22.17,Vastgesteld,Niet van toepassing,L,POINT (180507.890000001 383700.274999998),275BC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
191,251CR,5.7,23.06,23.31,23.34,Vastgesteld,Niet van toepassing,L,POINT (181893.822999999 395316.627),251CR,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
192,204CC,0.9500000000000001,5.96,6.68,6.88,Vastgesteld,Niet van toepassing,L,POINT (160775.377999999 409639.434),204CC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
193,261BOA,0.61,28.28,29.18,29.19,Vastgesteld,Niet van toepassing,L,POINT (186235.050000001 382949.006000001),261BOA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
194,204HFC,1.0,12.74,12.74,13.18,Vastgesteld,Niet van toepassing,L,POINT (167538.013999999 413794.02),204HFC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
195,234CBC,0.72,12.98,13.9,13.96,Vastgesteld,Niet van toepassing,L,POINT (166671.366999999 391941.473999999),234CBC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
196,234CPA,0.51,12.07,13.02,13.030000000000001,Vastgesteld,Niet van toepassing,L,POINT (170483.059999999 394061.199999999),234CPA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
197,245BB,0.72,12.36,13.31,13.34,Vastgesteld,Niet van toepassing,L,POINT (173635.188999999 400983.701000001),245BB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
198,102CET,0.7000000000000001,1.53,2.5500000000000003,2.98,Vastgesteld,Niet van toepassing,L,POINT (151370.510000002 415904.535),102CET,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
199,107FAS,1.0,12.620000000000001,13.120000000000001,13.120000000000001,Vastgesteld,Niet van toepassing,L,POINT (181260.796999998 412515.307),107FAS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
200,204AB,1.7,3.35,4.45,4.55,Vastgesteld,Niet van toepassing,L,POINT (157233.929000001 413877.151999999),204AB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
201,204AI,1.4000000000000001,3.84,4.72,4.96,Vastgesteld,Niet van toepassing,L,POINT (160258.677299999 415151.219300002),204AI,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
202,204CP,0.86,5.09,5.99,6.390000000000001,Vastgesteld,Niet van toepassing,L,POINT (163496.225000001 411237.592),204CP,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
203,211E,8.85,6.11,7.91,8.02,Vastgesteld,Niet van toepassing,L,POINT (161490.153999999 408290.291000001),211E,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
204,211HCA,3.0300000000000002,10.43,10.9,10.9,Vastgesteld,Niet van toepassing,L,POINT (169079.901999999 408194.340999998),211HCA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
205,211LI,0.9,12.88,13.540000000000001,13.85,Vastgesteld,Niet van toepassing,L,POINT (173440.059900001 404253.033100002),211LI,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
206,211LS,1.02,14.700000000000001,15.3,15.31,Vastgesteld,Niet van toepassing,L,POINT (173274.285 405096.318999998),211LS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
207,211MB,2.42,11.9,12.700000000000001,13.200000000000001,Vastgesteld,Niet van toepassing,L,POINT (173224.864999998 402877.306000002),211MB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
208,211MQ,0.84,18.03,19.11,19.490000000000002,Vastgesteld,Niet van toepassing,L,POINT (175300.620000001 404446.627),211MQ,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
209,234F,2.83,15.860000000000001,16.79,17.77,Vastgesteld,Niet van toepassing,L,POINT (173716.355 385290.197000001),234F,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
210,234FG,0.6,19.330000000000002,20.42,20.41,Vastgesteld,Niet van toepassing,L,POINT (176345.239 382924.837000001),234FG,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
211,246C,0.9400000000000001,13.72,14.41,14.67,Vastgesteld,Niet van toepassing,L,POINT (174451.421999998 400077.798),246C,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
212,248A,1.86,11.39,12.43,12.700000000000001,Vastgesteld,Niet van toepassing,L,POINT (173623.891100001 399354.739100002),248A,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
213,248G,1.46,15.96,17.25,17.48,Vastgesteld,Niet van toepassing,L,POINT (176009.177999999 399491.838),248G,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
214,251CLA,1.0,19.95,20.82,21.080000000000002,Vastgesteld,Niet van toepassing,L,POINT (178613.816 394240.987),251CLA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
215,251NB,0.7000000000000001,21.09,23.81,24.23,Vastgesteld,Niet van toepassing,L,POINT (182878.041999999 396822.078000002),251NB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
216,253J,2.7,18.02,18.830000000000002,18.990000000000002,Vastgesteld,Niet van toepassing,L,POINT (177923.278999999 393046.682999998),253J,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
217,261HA,0.75,23.79,24.68,24.740000000000002,Vastgesteld,Niet van toepassing,L,POINT (183440.473999999 389714.274),261HA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
218,261JI,0.5,26.07,26.830000000000002,27.3,Vastgesteld,Niet van toepassing,L,POINT (187130.6657 391299.5986),261JI,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
219,261JK,0.88,24.080000000000002,24.92,25.76,Vastgesteld,Niet van toepassing,L,POINT (184686.037 389808.838),261JK,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
220,275CA,1.3,21.79,21.79,22.0,Vastgesteld,Niet van toepassing,L,POINT (180719.541999999 382428.296999998),275CA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
221,275JE,1.1,30.080000000000002,31.01,31.7,Vastgesteld,Niet van toepassing,L,POINT (190005.793000001 375192.701000001),275JE,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
222,275JN,1.0,31.32,32.01,32.54,Vastgesteld,Niet van toepassing,L,POINT (191258.359999999 377629.090999998),275JN,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
223,108KSS,1.8,16.44,17.25,17.64,Vastgesteld,Niet van toepassing,L,POINT (188043.026000001 404271.445),108KSS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
224,213B,1.0,6.46,6.46,6.82,Vastgesteld,Niet van toepassing,L,POINT (160225.306400001 407257.144299999),213B,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
225,217KB,1.1,12.05,13.43,13.59,Vastgesteld,Niet van toepassing,L,POINT (167587.988000002 395108.934999999),217KB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
226,234PRP,8.6,13.700000000000001,13.73,13.74,Vastgesteld,Niet van toepassing,L,POINT (170654.397599999 390416.1094),234PRP,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
227,234PRN,7.1000000000000005,13.64,13.69,13.76,Vastgesteld,Niet van toepassing,L,POINT (170756.461199999 390255.997000001),234PRN,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
228,234CL,0.9,12.36,13.1,13.39,Vastgesteld,Niet van toepassing,L,POINT (170504.243999999 395091.522999998),234CL,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
229,204J,1.3,8.42,9.68,9.82,Vastgesteld,Niet van toepassing,L,POINT (166835.895 411511.092999999),204J,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
230,224A,0.9,6.54,7.55,7.61,Vastgesteld,Niet van toepassing,L,POINT (163739.427999999 404894.614999998),224A,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
231,114DCS,3.84,17.93,19.14,19.21,Vastgesteld,Niet van toepassing,L,POINT (189162.563999999 401014.162000001),114DCS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
232,103HSL,1.2,4.66,4.98,5.07,Vastgesteld,Niet van toepassing,L,POINT (162993.559700001 417645.849599998),103HSL,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
233,108FTW,1.0,18.51,19.45,19.69,Vastgesteld,Niet van toepassing,L,POINT (184283.375 405198.124000002),108FTW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
234,279B,1.76,19.55,20.6,20.86,Vastgesteld,Niet van toepassing,L,POINT (177191.579999998 381478.399),279B,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
235,287GA,0.98,26.330000000000002,27.21,27.22,Vastgesteld,Niet van toepassing,L,POINT (186623.975000002 376111.927000001),287GA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
236,292AA,2.5,22.62,24.060000000000002,24.29,Vastgesteld,Niet van toepassing,L,POINT (180571.954 375264.908),292AA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
237,275BD,0.9,20.830000000000002,21.93,22.41,Vastgesteld,Niet van toepassing,L,POINT (179695.289000001 383539.585999999),275BD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
238,275BE,1.0,21.490000000000002,22.09,22.09,Vastgesteld,Niet van toepassing,L,POINT (179762.704 384248.072999999),275BE,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
239,114WMO,0.8300000000000001,17.75,18.61,19.55,Vastgesteld,Niet van toepassing,L,POINT (188767.795000002 402067.213),114WMO,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
240,105AFT,0.5700000000000001,16.98,17.76,17.8,Vastgesteld,Niet van toepassing,L,POINT (175732.188999999 411978.816),105AFT,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
241,AKW266,3.3000000000000003,6.04,7.7700000000000005,12.13,Vastgesteld,Vastgesteld,L,POINT (179518.23 418863.043000001),AKW266,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
242,114A1,1.0,25.38,26.16,26.54,Vastgesteld,Niet van toepassing,L,POINT (185407.556000002 395517.098000001),114A1,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
243,234VEL,0.5,16.47,16.96,17.77,Vastgesteld,Niet van toepassing,L,POINT (173555.334800001 384380.8167),234VEL,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
244,234BKS,1.44,12.19,14.07,14.07,Vastgesteld,Niet van toepassing,L,POINT (168370.3706 392998.1833),234BKS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
245,234VDW,0.5,16.57,17.11,17.82,Vastgesteld,Niet van toepassing,L,POINT (173522.984200001 384284.803100001),234VDW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
246,201F,11.46,7.87,10.5,11.08,Vastgesteld,Niet van toepassing,L,POINT (170891.227000002 401119.375),201F,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
